# Genepanel: Mendeliom Version: 01 Date: 2018-08-09
#gene symbol	HGNC	phenotype	inheritance	omim_number	pmid	inheritance info	comment	Phenotype categories (multiple columns)
L1CAM	6470	Corpus callosum, partial agenesis of	X	304100				
L1CAM	6470	CRASH syndrome	X	303350				
L1CAM	6470	Hydrocephalus due to aqueductal stenosis	X	307000				
L1CAM	6470	Hydrocephalus with congenital idiopathic intestinal pseudoobstruction	X	307000				
L1CAM	6470	Hydrocephalus with Hirschsprung disease	X	307000				
L1CAM	6470	MASA syndrome	X	303350				
L2HGDH	20499	L-2-hydroxyglutaric aciduria	AR	236792				
LAGE3	26058	Galloway-Mowat syndrome 2, X-linked	X	301006				
LAMA1	6481	Poretti-Boltshauser syndrome	AR	615960				
LAMA2	6482	Muscular dystrophy, congenital merosin-deficient	AR	607855				
LAMA2	6482	Muscular dystrophy, congenital, due to partial LAMA2 deficiency	AR	607855				
LAMA3	6483	Epidermolysis bullosa, generalized atrophic benign	AR	226650				
LAMA3	6483	Epidermolysis bullosa, junctional, Herlitz type	AR	226700				
LAMA3	6483	Laryngoonychocutaneous syndrome	AR	245660				
LAMA4	6484	RCardiomyopathy, dilated, 1JJ 	AD	615235			Red list, panel app. ,Cardiomyopathy, dilated, 1JJ 	
LAMB1	6486	Lissencephaly 5	AR	615191				
LAMB2	6487	Nephrotic syndrome, type 5, with or without ocular abnormalities	AR	614199				
LAMB2	6487	Pierson syndrome	AR	609049				
LAMB3	6490	Amelogenesis imperfecta, type IA	AD	104530				
LAMB3	6490	Epidermolysis bullosa, junctional, Herlitz type	AR	226700				
LAMB3	6490	Epidermolysis bullosa, junctional, non-Herlitz type	AR	226650				
LAMC2	6493	Epidermolysis bullosa, junctional, Herlitz type	AR	226700				
LAMC2	6493	Epidermolysis bullosa, junctional, non-Herlitz type	AR	226650				
LAMC3	6494	Cortical malformations, occipital	AR	614115				
LAMP2	6501	Danon disease	X	300257				
LAMTOR2	29796	Immunodeficiency due to defect in MAPBP-interacting protein	AR	610798				
LARGE	6511	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6	AR	613154				
LARGE	6511	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6	AR	608840				
LARP7	24912	Alazami syndrome	AR	615071				
LARS	6512	?Infantile liver failure syndrome 1	AR	615438				
LARS2	17095	?Hydrops, lactic acidosis, and sideroblastic anemia	AR	617021				
LARS2	17095	Perrault syndrome 4	AR	615300				
LAS1L	25726	Wilson-Turner syndrome	X	309585				
LAT	18874	Immunodeficiency 52	AR	617514				
LBR	6518	?Reynolds syndrome	AD	613471				
LBR	6518	Greenberg skeletal dysplasia	AR	215140				
LBR	6518	Pelger-Huet anomaly	AD	169400				
LCA5	31923	Leber congenital amaurosis 5	AR	604537				
LCAT	6522	Fish-eye disease	AR	136120				
LCAT	6522	Norum disease	AR	245900				
LCK	6524	?Immunodeficiency 22	AR	615758				
LCT	6530	Lactase deficiency, congenital	AR	223000				
LDB3	15710	Cardiomyopathy, dilated, 1C, with or without LVNC	AD	601493				
LDB3	15710	Cardiomyopathy, hypertrophic, 24	AD	601493				
LDB3	15710	Left ventricular noncompaction 3	AD	601493				
LDB3	15710	Myopathy, myofibrillar, 4	AD	609452				
LDHA	6535	Glycogen storage disease XI	AR	612933				
LDLR	6547	Hypercholesterolemia, familial	AD	143890				
LDLR	6547	LDL cholesterol level QTL2	AD	143890				
LDLRAP1	18640	Hypercholesterolemia, familial, autosomal recessive	AR	603813				
LEFTY2	3122	Left-right axis malformations	AD					
LEMD2	21244	Cataract 46, juvenile-onset	AR	212500				
LEMD3	28887	Buschke-Ollendorff syndrome	AD	166700				
LEMD3	28887	Osteopoikilosis with or without melorheostosis	AD	166700				
LEP	6553	Obesity, morbid, due to leptin deficiency	AR	614962				
LEPR	6554	Obesity, morbid, due to leptin receptor deficiency	AR	614963				
LEPRE1	19316	Osteogenesis imperfecta, type VIII	AR	610915				
LEPREL1	19317	Myopia, high, with cataract and vitreoretinal degeneration	AR	614292				
LFNG	6560	?Spondylocostal dysostosis 3, autosomal recessive	AR	609813				
LGI1	6572	Epilepsy, familial temporal lobe, 1	AD	600512				
LGI4	18712	Arthrogryposis multiplex congenita, neurogenic, with myelin defect	AR	617468				
LHB	6584	Hypogonadotropic hypogonadism 23 with or without anosmia	AR	228300				
LHCGR	6585	Leydig cell hypoplasia with hypergonadotropic hypogonadism	AR	238320				
LHCGR	6585	Leydig cell hypoplasia with pseudohermaphroditism	AR	238320				
LHCGR	6585	Luteinizing hormone resistance, female	AR	238320				
LHCGR	6585	Precocious puberty, male	AD	176410				
LHFPL5	21253	Deafness, autosomal recessive 67	AR	610265				
LHX3	6595	Pituitary hormone deficiency, combined, 3	AR	221750				
LHX4	21734	Pituitary hormone deficiency, combined, 4	AD	262700				
LIAS	16429	Hyperglycinemia, lactic acidosis, and seizures	AR	614462				
LIFR	6597	Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome	AR	601559				
LIG4	6601	LIG4 syndrome	AR	606593				
LIM2	6610	Cataract 19, multiple types	AR	615277				
LIMS2	16084	Muscular dystrophy, limb-girdle, type 2W	AR	616827				
LINS	30922	Mental retardation, autosomal recessive 27 	AR	614340			Mental retardation, autosomal recessive 27 	
LIPA	6617	Cholesteryl ester storage disease	AR	278000				
LIPA	6617	Wolman disease	AR	278000				
LIPC	6619	Hepatic lipase deficiency	AR	614025				
LIPE	6621	Lipodystrophy, familial partial, type 6	AR	615980				
LIPH	18483	Hypotrichosis 7	AR	604379				
LIPH	18483	Woolly hair, autosomal recessive 2 with or without hypotrichosis	AR	604379				
LIPH	18483	Hepatic lipase deficiency	AR	614025				
LIPN	23452	Ichthyosis, congenital, autosomal recessive 8	AR	613943				
LIPT1	29569	Lipoyltransferase 1 deficiency	AR	616299				
LIPT2	37216	Encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities	AR	617668				
LITAF	16841	Charcot-Marie-Tooth disease, type 1C	AD	601098				
LMAN1	6631	Combined factor V and VIII deficiency	AR	227300				
LMAN2L	19263	?Mental retardation, autosomal recessive, 52	AR	616887				
LMBR1	13243	Acheiropody	AR	200500				
LMBR1	13243	Hypoplastic or aplastic tibia with polydactyly	AD	188740				
LMBR1	13243	Laurin-Sandrow syndrome	AD	135750				
LMBR1	13243	Polydactyly, preaxial type II	AD	174500				
LMBR1	13243	Syndactyly, type IV	AD	186200				
LMBR1	13243	Triphalangeal thumb, type I	AD	174500				
LMBR1	13243	Triphalangeal thumb-polysyndactyly syndrome	AD	174500				
LMBRD1	23038	Methylmalonic aciduria and homocystinuria, cblF type	AR	277380				
LMF1	14154	Lipase deficiency, combined	AR	246650				
LMNA	6636	Cardiomyopathy, dilated, 1A	AD	115200				
LMNA	6636	Charcot-Marie-Tooth disease, type 2B1	AR	605588				
LMNA	6636	Emery-Dreifuss muscular dystrophy 2, AD	AD	181350				
LMNA	6636	Emery-Dreifuss muscular dystrophy 3, AR	AR	616516				
LMNA	6636	Heart-hand syndrome, Slovenian type	AD	610140				
LMNA	6636	Hutchinson-Gilford progeria	AR;AD	176670				
LMNA	6636	Lipodystrophy, familial partial, type 2	AD	151660				
LMNA	6636	Malouf syndrome	AD	212112				
LMNA	6636	Mandibuloacral dysplasia	AR	248370				
LMNA	6636	Muscular dystrophy, congenital	AD	613205				
LMNA	6636	Muscular dystrophy, limb-girdle, type 1B	AD	159001				
LMNA	6636	Restrictive dermopathy, lethal	AR	275210				
LMNB1	6637	Leukodystrophy, adult-onset, autosomal dominant	AD	169500				
LMNB2	6638	?Epilepsy, progressive myoclonic, 9	AR	616540				
LMOD3	6649	Nemaline myopathy 10	AR	616165				
LMX1B	6654	Nail-patella syndrome	AD	161200				
LONP1	9479	CODAS syndrome	AR	600373				
LOR	6663	Vohwinkel syndrome with ichthyosis	AD	604117				
LOX	6664	Aortic aneurysm, familial thoracic 10	AD	617168				
LOXHD1	26521	Deafness, autosomal recessive 77	AR	613079				
LPAR6	15520	Woolly hair, autosomal recessive 1, with or without hypotrichosis	AR	278150				
LPAR6	15520	Hypotrichosis 8	AR	278150				
LPIN1	13345	Myoglobinuria, acute recurrent, autosomal recessive	AR	268200				
LPIN2	14450	Majeed syndrome	AR	609628				
LPL	6677	Combined hyperlipidemia, familial	AD	144250				
LPL	6677	Lipoprotein lipase deficiency	AR	238600				
LRAT	6685	Leber congenital amaurosis 14	AR	613341				
LRAT	6685	Retinal dystrophy, early-onset severe	AR	613341				
LRAT	6685	Retinitis pigmentosa, juvenile	AR	613341				
LRBA	1742	Immunodeficiency, common variable, 8, with autoimmunity	AR	614700				
LRIG2	20889	Urofacial syndrome 2	AR	615112				
LRIT3	24783	Night blindness, congenital stationary (complete), 1F, autosomal recessive	AR	615058				
LRP1	6692	?Keratosis pilaris atrophicans	AR	604093				
LRP2	6694	Donnai-Barrow syndrome	AR	222448				
LRP4	6696	?Myasthenic syndrome, congenital, 17	AR	616304				
LRP4	6696	Cenani-Lenz syndactyly syndrome	AR	212780				
LRP4	6696	Sclerosteosis 2	AR;AD	614305				
LRP5	6697	Exudative vitreoretinopathy 4	AR;AD	601813				
LRP5	6697	Hyperostosis, endosteal	AD	144750				
LRP5	6697	Osteopetrosis, autosomal dominant 1	AD	607634				
LRP5	6697	Osteoporosis-pseudoglioma syndrome	AR	259770				
LRP5	6697	Osteosclerosis	AD	144750				
LRP5	6697	Polycystic liver disease 4 with or without kidney cysts	AD	617875				
LRP5	6697	van Buchem disease, type 2	AD	607636				
LRP6	6698	Tooth agenesis, selective, 7	AD	616724				
LRPAP1	6701	Myopia 23, autosomal recessive	AR	615431				
LRPPRC	15714	Leigh syndrome, French-Canadian type	AR	220111				
LRRC6	16725	Ciliary dyskinesia, primary, 19	AR	614935				
LRRC8A	19027	?Agammaglobulinemia 5	AD	613506				
LRRK2	18618	{Parkinson disease 8}	AD	607060				
LRSAM1	25135	Charcot-Marie-Tooth disease, axonal, type 2P	AR;AD	614436				
LRTOMT	25033	Deafness, autosomal recessive 63	AR	611451				
LSS	6708	Cataract 44	AR	616509				
LTBP2	6715	?Weill-Marchesani syndrome 3, recessive	AR	614819				
LTBP2	6715	Glaucoma 3, primary congenital, D	AR	613086				
LTBP2	6715	Microspherophakia and/or megalocornea, with ectopia lentis and with or without secondary glaucoma	AR	251750				
LTBP2	6715	Dental anomalies and short stature	AR	601216				
LTBP2	6715	Geleophysic dysplasia 3	AD	617809				
LTBP3	6716	?Weill-Marchesani syndrome 3, recessive	AR	614819				
LTBP3	6716	Microspherophakia and/or megalocornea, with ectopia lentis and with or without secondary glaucoma	AR	251750				
LTBP3	6716	Dental anomalies and short stature	AR	601216				
LTBP3	6716	Geleophysic dysplasia 3	AD	617809				
LTBP4	6717	Cutis laxa, autosomal recessive, type IC	AR	613177				
LYRM4	21365	?Combined oxidative phosphorylation deficiency 19	AR	615595				
LYRM7	28072	Mitochondrial complex III deficiency, nuclear type 8	AR	615838				
LYST	1968	Chediak-Higashi syndrome	AR	214500				
LYZ	6740	Amyloidosis, renal	AD	105200				
LZTFL1	6741	Bardet-Biedl syndrome 17	AR	615994				
LZTR1	6742	Noonan syndrome 10	AD	616564				
MAB21L2	6758	Microphthalmia/coloboma and skeletal dysplasia syndrome	AR;AD	615877				
MAD2L2	6764	?Fanconi anemia, complementation group V	AR	617243				
MAF	6776	Ayme-Gripp syndrome	AD	601088				
MAF	6776	Cataract 21, multiple types	AD	610202				
MAFB	6408	Duane retraction syndrome 3	AD	617041				
MAFB	6408	Multicentric carpotarsal osteolysis syndrome	AD	166300				
MAG	6783	Spastic paraplegia 75, autosomal recessive	AR	616680				
MAGED2	16353	Bartter syndrome, type 5, antenatal, transient	X	300971				
MAGEL2	6814	Schaaf-Yang syndrome	AD	615547				
MAGI2	18957	Nephrotic syndrome 15	AR	617609				
MAGT1	28880	Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia	X	300853				
MAK	6816	Retinitis pigmentosa 62	AR	614181				
MALT1	6819	Immunodeficiency 12	AR	615468				
MAMLD1	2568	Hypospadias 2, X-linked	X	300758				
MAN1B1	6823	Mental retardation, autosomal recessive 15	AR	614202				
MAN2B1	6826	Mannosidosis, alpha-, types I and II	AR	248500				
MANBA	6831	Mannosidosis, beta	AR	248510				
MAOA	6833	Brunner syndrome	X	300615				
MAP2K1	6840	Cardiofaciocutaneous syndrome 3	AD	615279				
MAP2K2	6842	Cardiofaciocutaneous syndrome 4	AD	615280				
MAP3K1	6848	46XY sex reversal 6	AD	613762				
MAP3K7	6859	Cardiospondylocarpofacial syndrome	AD	157800				
MAP3K7	6859	Frontometaphyseal dysplasia 2	AD	617137				
MAPK10	6872	Epileptic encephalopathy, Intellectual disability	AD				Alle farger panel APP	
MAPKAPK3	6888	?Macular dystrophy, patterned, 3 	AD	617111			?Macular dystrophy, patterned, 3 	
MAPKBP1	29536	Nephronophthisis 20	AR	617271				
MAPRE2	6891	Symmetric circumferential skin creases, congenital, 2	AD	616734				
MAPT	6893	Dementia, frontotemporal, with or without parkinsonism	AD	600274				
MAPT	6893	Pick disease	AD	172700				
MAPT	6893	Supranuclear palsy, progressive	AD	601104				
MAPT	6893	Supranuclear palsy, progressive atypical	AR	260540				
MARS	6898	Charcot-Marie-Tooth disease, axonal, type 2U	AD	616280				
MARS	6898	Interstitial lung and liver disease	AR	615486				
MARVELD2	26401	Deafness, autosomal recessive 49	AR	610153				
MASP1	6901	3MC syndrome 1	AR	257920				
MASP2	6902	MASP2 deficiency	AR	613791				
MASTL	19042	Thrombocytopenia, severe aplastic anemia	AD			GUS	Red list, panel app	
MAT1A	6903	Hypermethioninemia, persistent, autosomal dominant, due to methionine adenosyltransferase I/III deficiency	AR;AD	250850				
MAT1A	6903	Methionine adenosyltransferase deficiency, autosomal recessive	AR;AD	250850				
MATN3	6909	?Spondyloepimetaphyseal dysplasia	AR	608728				
MATN3	6909	Epiphyseal dysplasia, multiple, 5	AD	607078				
MATR3	6912	Amyotrophic lateral sclerosis 21	AD	606070				
MAX	6913	{Pheochromocytoma, susceptibility to}	AD	171300				
MBD5	20444	Mental retardation, autosomal dominant 1	AD	156200				
MBOAT7	15505	Mental retardation, autosomal recessive 57	AR	617188				
MBTPS2	15455	?Olmsted syndrome, X-linked	X	300918				
MBTPS2	15455	IFAP syndrome with or without BRESHECK syndrome	X	308205				
MBTPS2	15455	Keratosis follicularis spinulosa decalvans, X-linked	X	308800				
MC2R	6930	Glucocorticoid deficiency, due to ACTH unresponsiveness	AR	202200				
MC4R	6932	Obesity, autosomal dominant	AR;AD	601665				
MCCC1	6936	3-Methylcrotonyl-CoA carboxylase 1 deficiency	AR	210200				
MCCC2	6937	3-Methylcrotonyl-CoA carboxylase 2 deficiency	AR	210210				
MCEE	16732	Methylmalonyl-CoA epimerase deficiency	AR	251120				
MCFD2	18451	Factor V and factor VIII, combined deficiency of	AD;AR	613625				
MCIDAS	40050	Reduced generation of multiple motile cilia	AR				Red og green, panel app	
MCM2	6944	?Deafness, autosomal dominant 70	AD	616968				
MCM4	6947	Immunodeficiency 54	AR	609981				
MCM5	6948	?Meier-Gorlin syndrome 8	AR	617564				
MCM6	6949	Lactase persistence/nonpersistence	AD	223100				
MCM8	16147	?Premature ovarian failure 10	AR	612885				
MCM9	21484	Ovarian dysgenesis 4	AR	616185				
MCOLN1	13356	Mucolipidosis IV	AR	252650				
MCPH1	6954	Microcephaly 1, primary, autosomal recessive	AR	251200				
MDH2	6971	Epileptic encephalopathy, early infantile, 51	AR	617339				
MECOM	3498	Radioulnar synostosis with amegakaryocytic thrombocytopenia 2	AD	616738				
MECR	19691	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities	AR	617282				
MED12	11957	Lujan-Fryns syndrome	X	309520				
MED12	11957	Ohdo syndrome, X-linked	X	300895				
MED12	11957	Opitz-Kaveggia syndrome	X	305450				
MED13L	22962	Mental retardation and distinctive facial features with or without cardiac defects	AD	616789				
MED13L	22962	Transposition of the great arteries, dextro-looped 1	AD	608808				
MED17	2375	Microcephaly, postnatal progressive, with seizures and brain atrophy	AR	613668				
MED23	2372	Mental retardation, autosomal recessive 18	AR	614249				
MED25	28845	?Charcot-Marie-Tooth disease, type 2B2	AR	605589				
MED25	28845	Basel-Vanagait-Smirin-Yosef syndrome	AR	616449				
MEF2C	6996	Chromosome 5q14.3 deletion syndrome	AD	613443				
MEF2C	6996	Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations	AD	613443				
MEFV	6998	Familial Mediterranean fever, AD	AD	134610				
MEFV	6998	Familial Mediterranean fever, AR	AR	249100				
MEGF10	29634	Myopathy, areflexia, respiratory distress, and dysphagia, early-onset	AR	614399				
MEGF10	29634	Myopathy, areflexia, respiratory distress, and dysphagia, early-onset, mild variant	AR	614399				
MEGF8	3233	Carpenter syndrome 2	AR	614976				
MEIOB	28569	?Spermatogenic failure 22	AR	617706				
MEIS2	7001	Cleft palate, cardiac defects, and mental retardation	AD	600987				
MEN1	7010	Multiple endocrine neoplasia 1	AD	131100				
MEOX1	7013	Klippel-Feil syndrome 2	AR	214300				
MERTK	7027	Retinitis pigmentosa 38	AR	613862				
MESP2	29659	Spondylocostal dysostosis 2, autosomal recessive	AR	608681				
MET	7029	?Deafness, autosomal recessive 97	AR	616705				
MET	7029	Renal cell carcinoma, papillary, 1, familial and somatic	AD	605074				
METTL23	26988	Mental retardation, autosomal recessive 44	AR	615942				
MFAP5	29673	Aortic aneurysm, familial thoracic 9	AD	616166				
MFF	24858	Encephalopathy due to defective mitochondrial and peroxisomal fission 2	AR	617086				
MFN2	16877	Charcot-Marie-Tooth disease, axonal, type 2A2A	AD	609260				
MFN2	16877	Charcot-Marie-Tooth disease, axonal, type 2A2B	AR	617087				
MFN2	16877	Hereditary motor and sensory neuropathy VIA	AD	601152				
MFSD2A	25897	Microcephaly 15, primary, autosomal recessive	AR	616486				
MFSD8	28486	Ceroid lipofuscinosis, neuronal, 7	AR	610951				
MFSD8	28486	Macular dystrophy with central cone involvement	AR	616170				
MGAT2	7045	Congenital disorder of glycosylation, type IIa	AR	212066				
MGME1	16205	Mitochondrial DNA depletion syndrome 11	AR	615084				
MGP	7060	Keutel syndrome	AR	245150				
MIB1	21086	Left ventricular noncompaction 7	AD	615092				
MICU1	1530	Myopathy with extrapyramidal signs	AR	615673				
MID1	7095	Opitz GBBB syndrome, type I	XR	300000				
MID2	7096	?Mental retardation, X-linked 101	X	300928				
MIP	7103	Cataract 15, multiple types	AD	615274				
MIPEP	7104	Combined oxidative phosphorylation deficiency 31	AR	617228				
MITF	7105	COMMAD syndrome	AR	617306				
MITF	7105	Tietz albinism-deafness syndrome	AD	103500				
MITF	7105	Waardenburg syndrome, type 2A	AD	193510				
MITF	7105	Waardenburg syndrome/ocular albinism, digenic	AD	103470				
MKKS	7108	Bardet-Biedl syndrome 6	AR	605231				
MKKS	7108	McKusick-Kaufman syndrome	AR	236700				
MKRN3	7114	Precocious puberty, central, 2	AD	615346				
MKS1	7121	Bardet-Biedl syndrome 13	AR	615990				
MKS1	7121	Joubert syndrome 28	AR	617121				
MKS1	7121	Meckel syndrome 1	AR	249000				
MLC1	17082	Megalencephalic leukoencephalopathy with subcortical cysts	AR	604004				
MLH1	7127	Mismatch repair cancer syndrome	AR	276300				
MLH1	7127	Muir-Torre syndrome	AD	158320				
MLH3	7128	Colorectal cancer, hereditary nonpolyposis, type 7		614385				
MLPH	29643	Griscelli syndrome, type 3	AR	609227				
MLYCD	7150	Malonyl-CoA decarboxylase deficiency	AR	248360				
MMAA	18871	Methylmalonic aciduria, vitamin B12-responsive	AR	251100				
MMAB	19331	Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type	AR	251110				
MMACHC	24525	Methylmalonic aciduria and homocystinuria, cblC type	AR	277400				
MMADHC	25221	Homocystinuria, cblD type, variant 1	AR	277410				
MMADHC	25221	Methylmalonic aciduria and homocystinuria, cblD type	AR	277410				
MMADHC	25221	Methylmalonic aciduria, cblD type, variant 2	AR	277410				
MME	7154	?Spinocerebellar ataxia 43	AD	617018				
MME	7154	Charcot-Marie-Tooth disease, axonal, type 2T	AR;AD	617017				
MMP13	7159	Metaphyseal anadysplasia 1	AD	602111				
MMP13	7159	Metaphyseal dysplasia, Spahr type	AR	250400				
MMP13	7159	Spondyloepimetaphyseal dysplasia, Missouri type	AD	602111				
MMP14	7160	?Winchester syndrome	AR	277950				
MMP19	7165	Cavitary optic disc anomalies	AD	611543				
MMP2	7166	Multicentric osteolysis, nodulosis, and arthropathy	AR	259600				
MMP20	7167	Amelogenesis imperfecta, type IIA2	AR	612529				
MMP21	14357	Heterotaxy, visceral, 7, autosomal	AR	616749				
MMP9	7176	Metaphyseal anadysplasia 2	AR	613073				
MN1	7180	Meningioma	AD	607174				
MNX1	4979	Currarino syndrome	AD	176450				
MOCOS	18234	Xanthinuria, type II	AR	603592				
MOCS1	7190	Molybdenum cofactor deficiency A	AR	252150				
MOCS2	7193	Molybdenum cofactor deficiency B	AR	252160				
MOG	7197	?Narcolepsy 7	AD	614250				
MOGS	24862	Congenital disorder of glycosylation, type IIb	AR	606056				
MORC2	23573	Charcot-Marie-Tooth disease, axonal, type 2Z	AD	616688				
MPC1	21606	Mitochondrial pyruvate carrier deficiency	AR	614741				
MPDU1	7207	Congenital disorder of glycosylation, type If	AR	609180				
MPDZ	7208	Hydrocephalus, nonsyndromic, autosomal recessive 2	AR	615219				
MPI	7216	Congenital disorder of glycosylation, type Ib	AR	602579				
MPL	7217	Thrombocythemia 2	AD	601977				
MPL	7217	Thrombocytopenia, congenital amegakaryocytic	AR	604498				
MPLKIP	16002	Trichothiodystrophy 4, nonphotosensitive	AR	234050				
MPO	7218	Myeloperoxidase deficiency	AR	254600				
MPV17	7224	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	AR	256810				
MPZ	7225	Charcot-Marie-Tooth disease, dominant intermediate D	AD	607791				
MPZ	7225	Charcot-Marie-Tooth disease, type 1B	AD	118200				
MPZ	7225	Charcot-Marie-Tooth disease, type 2I	AD	607677				
MPZ	7225	Charcot-Marie-Tooth disease, type 2J	AD	607736				
MPZ	7225	Dejerine-Sottas disease	AR;AD	145900				
MPZ	7225	Neuropathy, congenital hypomyelinating	AR;AD	605253				
MPZ	7225	Roussy-Levy syndrome	AD	180800				
MRAP	1304	Glucocorticoid deficiency 2	AR	607398				
MRE11A	7230	Ataxia-telangiectasia-like disorder 1	AR	604391				
MRPL12	10378	Growth retardation and neurological deterioration	AR			GUS	Red og green, panel app, en artikkel HMGD: Serre (2013) Biochim Biophys Acta 1832, 1304	
MRPL3	10379	Combined oxidative phosphorylation deficiency 9	AR	614582				
MRPL44	16650	?Combined oxidative phosphorylation deficiency 16	AR	615395				
MRPS16	14048	Combined oxidative phosphorylation deficiency 2	AR	610498				
MRPS22	14508	Combined oxidative phosphorylation deficiency 5	AR	611719				
MRPS23	14509	Hepatic disease	AR			GUS	Red, panel app	
MRPS34	16618	Combined oxidative phosphorylation deficiency 32	AR	617664				
MRPS7	14499	?Combined oxidative phosphorylation deficiency 34	AR	617872				
MS4A1	7315	Immunodeficiency, common variable, 5	AR	613495				
MSH2	7325	Mismatch repair cancer syndrome	AR	276300				
MSH2	7325	Colorectal cancer, hereditary nonpolyposis, type 1	AD	120435				
MSH2	7325	Muir-Torre syndrome	AD	158320				
MSH3	7326	Familial adenomatous polyposis 4	AR	617100				
MSH5	7328	?Premature ovarian failure 13	AR	617442				
MSH6	7329	Mismatch repair cancer syndrome	AR	276300				
MSH6	7329	Colorectal cancer, hereditary nonpolyposis, type 5	AD	614350				
MSL3	7370	MSL3 syndrom	X			GUS	Red, panel app, ikke i HGMD,	
MSMO1	10545	Microcephaly, congenital cataract, and psoriasiform dermatitis	AR	616834				
MSN	7373	Immunodeficiency 50	X	300988				
MSR1	7376	Barrett esophagus/esophageal adenocarcinoma	AD	614266				
MSRB3	27375	Deafness, autosomal recessive 74	AR	613718				
MSTN	4223	Muscle hypertrophy	AD	614160				
MSTO1	29678	Myopathy, mitochondrial, and ataxia	AR;AD	617675				
MSX1	7391	Ectodermal dysplasia 3, Witkop type	AD	189500				
MSX1	7391	Orofacial cleft 5	AD	608874				
MSX1	7391	Tooth agenesis, selective, 1, with or without orofacial cleft	AD	106600				
MSX2	7392	Craniosynostosis 2	AD	604757				
MSX2	7392	Parietal foramina 1	AD	168500				
MSX2	7392	Parietal foramina with cleidocranial dysplasia	AD	168550				
MTAP	7413	Diaphyseal medullary stenosis with malignant fibrous histiocytoma	AD	112250				
MTF1	7428	Intellectual disability	AD			GUS	Red, panel app, 1 de novo i en pasient, Eur J Med Genet. 2012 Nov;55(11):577-85	
MTFMT	29666	Combined oxidative phosphorylation deficiency 15	AR	614947				
MTHFD1	7432	Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia	AR	617780				
MTHFR	7436	Homocystinuria due to MTHFR deficiency	AR	236250				
MTM1	7448	Myotubular myopathy, X-linked	X	310400				
MTMR2	7450	Charcot-Marie-Tooth disease, type 4B1	AR	601382				
MTO1	19261	Combined oxidative phosphorylation deficiency 10	AR	614702				
MTOR	3942	Focal cortical dysplasia, type II, somatic		607341				
MTOR	3942	Smith-Kingsmore syndrome	AD	616638				
MTPAP	25532	?Spastic ataxia 4, autosomal recessive	AR	613672				
MTR	7468	Homocystinuria-megaloblastic anemia, cblG complementation type	AR	250940				
MTRR	7473	Homocystinuria-megaloblastic anemia, cbl E type	AR	236270				
MTTP	7467	Abetalipoproteinemia 	AR	200100			RÃ¸d og grÃ¸nn panel app,Abetalipoproteinemia 	
MUC1	7508	Medullary cystic kidney disease 1	AD	174000				
MUSK	7525	Fetal akinesia deformation sequence	AR	208150				
MUSK	7525	Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency	AR	616325				
MUT	7526	Methylmalonic aciduria, mut(0) type	AR	251000				
MUTYH	7527	Adenomas, multiple colorectal	AR	608456				
MVD	7529	Porokeratosis 7, multiple types	AD	614714				
MVK	7530	Hyper-IgD syndrome	AR	260920				
MVK	7530	Mevalonic aciduria	AR	610377				
MVK	7530	Porokeratosis 3, multiple types	AD	175900				
MYBPC1	7549	Arthrogryposis, distal, type 1B	AD	614335				
MYBPC1	7549	Lethal congenital contracture syndrome 4	AR	614915				
MYBPC3	7551	Cardiomyopathy, dilated, 1MM	AD	615396				
MYBPC3	7551	Cardiomyopathy, hypertrophic, 4	AD	115197				
MYBPC3	7551	Left ventricular noncompaction 10	AD	615396				
MYCN	7559	Feingold syndrome 1	AD	164280				
MYD88	7562	Pyogenic bacterial infections, recurrent, due to MYD88 deficiency	AR	612260				
MYF6	7566	Centronuclear myopathy 3	AD	614408				
MYH10	7568	MYH10-related Multiple congenital anomalies 	AD				Red, panel app, de novo varianter,  ser mer pÃ¥	
MYH14	23212	?Peripheral neuropathy, myopathy, hoarseness, and hearing loss	AD	614369				
MYH14	23212	Deafness, autosomal dominant 4A	AD	600652				
MYH2	7572	Proximal myopathy and ophthalmoplegia	AR;AD	605637				
MYH3	7573	Arthrogryposis, distal, type 2A	AD	193700				
MYH3	7573	Arthrogryposis, distal, type 2B	AD	601680				
MYH3	7573	Arthrogryposis, distal, type 8	AD	178110				
MYH6	7576	Atrial septal defect 3	AD	614089				
MYH6	7576	Cardiomyopathy, dilated, 1EE	AD	613252				
MYH6	7576	Cardiomyopathy, hypertrophic, 14	AD	613251				
MYH7	7577	Cardiomyopathy, dilated, 1S	AD	613426				
MYH7	7577	Cardiomyopathy, hypertrophic, 1	AD	192600				
MYH7	7577	Laing distal myopathy	AD	160500				
MYH7	7577	Left ventricular noncompaction 5	AD	613426				
